State/UT,Facility Type,Total No. of Facilities #,No. of facilities reporting nil performance *,Performance - Overall Average **,Performance - Maximum,Performance - Minimum,No. of facilities by performance - 1 to 100,No. of facilities by performance - 101 to 500,No. of facilities by performance - 501 to 1000,No. of facilities by performance - >1000
All India Total distt - 708 Districts reporting facility wise - 704,DH,846,320,1943.9,29469,4,34,127,103,262
All India Total distt - 708 Districts reporting facility wise - 704,SDH,1243,625,1901.7,37473,6,18,117,105,378
All India Total distt - 708 Districts reporting facility wise - 704,CHC,5636,3340,1004.9,55200,5,169,758,552,817
All India Total distt - 708 Districts reporting facility wise - 704,PHC,30186,23097,581.8,14136,1,793,3585,1636,1075
All India Total distt - 708 Districts reporting facility wise - 704,SC,159196,157681,72,1308,1,1231,260,17,7
A & N Islands Total distt - 3 Districts reporting facility wise - 3,DH,3,1,545,760,330,0,1,1,0
A & N Islands Total distt - 3 Districts reporting facility wise - 3,CHC,4,1,867,1204,359,0,1,0,2
A & N Islands Total distt - 3 Districts reporting facility wise - 3,PHC,27,14,402.8,1039,165,0,10,2,1
A & N Islands Total distt - 3 Districts reporting facility wise - 3,SC,123,121,21,22,20,2,0,0,0
Andhra Pradesh Total distt - 13 Districts reporting facility wise - 13,DH,14,4,1731.7,3254,437,0,1,3,6
Andhra Pradesh Total distt - 13 Districts reporting facility wise - 13,SDH,28,14,969.3,2121,114,0,3,7,4
Andhra Pradesh Total distt - 13 Districts reporting facility wise - 13,CHC,198,124,747.5,2261,52,2,17,36,19
Andhra Pradesh Total distt - 13 Districts reporting facility wise - 13,PHC,1514,1331,647.1,2243,5,10,51,98,24
Andhra Pradesh Total distt - 13 Districts reporting facility wise - 13,SC,7458,7423,152.6,626,2,17,17,1,0
Arunachal Pradesh Total distt - 20 Districts reporting facility wise - 20,DH,16,1,207.6,612,4,4,10,1,0
Arunachal Pradesh Total distt - 20 Districts reporting facility wise - 20,CHC,63,28,128.9,465,6,21,14,0,0
Arunachal Pradesh Total distt - 20 Districts reporting facility wise - 20,PHC,120,90,62.9,246,5,23,7,0,0
